seq,number,name,algorithm,algorithm_id,information,correct_user,submission_cnt,correct_rate,level,avg_try,time_limit,memory_limit
84,10610,30,"수학,문자열,정렬,정수론","124,158,97,95","출처,다국어,분류",6274,21791,36.396,6,2.75,1 초,256 MB
85,2953,나는 요리사다,"수학,구현,사칙연산","124,102,121","출처,다국어,분류",6244,11012,64.624,3,1.55,1 초,128 MB
86,5086,배수와 약수,"수학,구현","124,102","출처,다국어,분류",6230,9530,70.876,3,1.41,1 초,128 MB
87,2960,에라토스테네스의 체,"수학,구현,정수론,소수 판정,에라토스테네스의 체","124,102,95,9,67","출처,다국어,분류",6139,14324,51.666000000000004,7,1.94,1 초,128 MB
88,10886,0 = not cute / 1 = cute,"수학,구현,사칙연산","124,102,121","출처,분류",6138,9940,68.01100000000001,3,1.47,1 초,2 MB
89,1550,16진수,"수학,구현","124,102",분류,6036,10284,66.637,1,1.5,2 초,128 MB
90,2875,대회 or 인턴,"수학,구현","124,102","출처,다국어,분류",5906,16754,41.674,3,2.4,1 초,128 MB
91,9613,GCD 합,"수학,정수론,유클리드 호제법","124,95,26","출처,다국어,분류",5657,19329,37.503,8,2.67,1 초,128 MB
92,1057,토너먼트,"수학,브루트포스 알고리즘","124,125",분류,5556,12278,55.677,8,1.8,1 초,512 MB
93,1212,8진수 2진수,"수학,구현,문자열","124,102,158",분류,5523,22194,33.213,2,3.01,1 초,256 MB
94,2010,플러그,"수학,구현,사칙연산","124,102,121","출처,다국어,분류",5515,11207,59.269,3,1.69,2 초,256 MB
95,2480,주사위 세개,"수학,사칙연산","124,121","출처,분류",5349,11029,55.917,2,1.79,1 초,128 MB
96,10156,과자,"수학,사칙연산","124,121","출처,분류",5265,10209,56.998999999999995,2,1.75,1 초,256 MB
97,2420,사파리월드,"수학,구현,사칙연산","124,102,121","출처,다국어,분류",5091,14793,40.325,2,2.48,1 초,128 MB
98,2845,파티가 끝나고 난 뒤,"수학,구현,사칙연산","124,102,121","출처,다국어,분류",5035,7548,72.918,1,1.37,1 초,128 MB
99,2004,조합 0의 개수,"수학,정수론","124,95",분류,4934,21625,28.855,9,3.47,2 초,128 MB
100,1373,2진수 8진수,"수학,문자열,사칙연산","124,158,121",분류,4929,16696,38.595,4,2.59,1 초,128 MB
101,10972,다음 순열,"수학,조합론","124,6",분류,4909,16119,43.331,8,2.31,1 초,256 MB
102,2530,인공지능 시계,"수학,사칙연산","124,121","출처,분류",4844,11956,47.537,2,2.1,1 초,128 MB
103,10162,전자레인지,"수학,구현,그리디 알고리즘","124,102,33","출처,분류",4811,9722,57.253,2,1.75,1 초,64 MB
104,9655,돌 게임,"수학,다이나믹 프로그래밍,게임 이론","124,25,140",분류,4639,8102,66.442,6,1.51,1 초,128 MB
105,1789,수들의 합,수학,124,분류,4628,13351,42.891999999999996,6,2.33,2 초,128 MB
106,1735,분수 합,"수학,정수론,유클리드 호제법","124,95,26",분류,4623,12023,46.659,9,2.14,2 초,128 MB
107,1292,쉽게 푸는 문제,"수학,구현","124,102",분류,4555,9261,57.651,6,1.73,2 초,128 MB
108,2749,피보나치 수 3,"수학,분할 정복을 이용한 거듭제곱","124,39","디버그,분류",4547,17393,38.213,14,2.62,1 초,128 MB
109,6359,만취한 상범,"수학,구현,정수론","124,102,95","출처,다국어,분류",4458,7648,70.017,4,1.43,1 초,128 MB
110,3036,링,"수학,정수론,유클리드 호제법","124,95,26","출처,다국어,분류",4405,6114,79.714,8,1.25,1 초,128 MB
111,1644,소수의 연속합,"수학,정수론,두 포인터,소수 판정,에라토스테네스의 체","124,95,80,9,67","출처,다국어,분류",4367,14429,42.402,13,2.36,2 초,128 MB
112,1748,수 이어 쓰기 1,"수학,구현","124,102",분류,4357,11192,51.826,8,1.93,0.15 초,128 MB
113,1075,나누기,수학,124,분류,4341,9283,55.597,4,1.8,2 초,128 MB
114,10833,사과,수학,124,"출처,분류",4332,5931,82.561,3,1.21,1 초,256 MB
115,2501,약수 구하기,수학,124,"출처,분류",4309,10023,49.156000000000006,3,2.03,1 초,128 MB
116,2740,행렬 곱셈,"수학,구현","124,102",분류,4181,6899,71.678,5,1.4,1 초,128 MB
117,2506,점수계산,"수학,구현,사칙연산","124,102,121","출처,분류",4162,5868,79.595,3,1.26,1 초,128 MB
118,5063,TGN,"수학,사칙연산","124,121","출처,다국어,분류",4161,6427,71.348,3,1.4,1 초,128 MB
119,5554,심부름 가는 길,"수학,구현,사칙연산","124,102,121","출처,다국어,분류",4148,5135,87.25299999999999,1,1.15,1 초,128 MB
120,5532,방학 숙제,"수학,사칙연산","124,121","출처,다국어,분류",4138,7339,63.176,2,1.58,1 초,128 MB
121,2745,진법 변환,"수학,구현,문자열","124,102,158",분류,4096,8639,56.755,4,1.76,1 초,128 MB
122,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰","수학,구현,사칙연산","124,102,121","출처,다국어,분류",4075,6195,72.625,1,1.38,1 초,128 MB
123,10448,유레카 이론,"수학,브루트포스 알고리즘","124,125","출처,다국어,분류",3973,8472,59.016999999999996,4,1.69,1 초,256 MB
124,15953,상금 헌터,"수학,구현,사칙연산","124,102,121","출처,분류",3974,13459,36.482,3,2.74,1 초 (추가 시간 없음),512 MB
125,2965,캥거루 세마리,수학,124,"출처,다국어,분류",3943,6411,67.936,3,1.47,1 초,128 MB
126,1963,소수 경로,"수학,그래프 이론,그래프 탐색,정수론,너비 우선 탐색,소수 판정,에라토스테네스의 체","124,7,11,95,126,9,67","출처,다국어,분류",3926,9948,55.585,12,1.8,2 초,256 MB
127,4101,크냐?,"수학,구현","124,102","출처,다국어,분류",3881,7879,55.61,3,1.8,1 초,128 MB
128,2587,대표값2,"수학,구현,사칙연산","124,102,121","출처,분류",3879,6264,68.041,4,1.47,1 초,128 MB
129,2864,5와 6의 차이,"수학,사칙연산","124,121","출처,다국어,분류",3831,5819,73.433,4,1.36,1 초,128 MB
130,1049,기타줄,수학,124,분류,3786,13982,32.265,7,3.1,2 초,128 MB
131,9085,더하기,"수학,구현,사칙연산","124,102,121","출처,분류",3764,5339,77.528,3,1.29,1 초,128 MB
132,10973,이전 순열,수학,124,분류,3744,7140,65.48899999999999,8,1.53,1 초,256 MB
133,9375,패션왕 신해빈,"수학,자료 구조,문자열,해시를 사용한 집합과 맵","124,175,158,136","출처,다국어,분류",3718,8074,54.167,8,1.85,1 초,128 MB
134,5522,카드 게임,"수학,사칙연산","124,121","출처,다국어,분류",3660,4478,87.917,1,1.14,1 초,256 MB
135,1016,제곱 ㄴㄴ 수,"수학,정수론,소수 판정,에라토스테네스의 체","124,95,9,67","출처,분류",3657,32496,19.781,15,5.06,2 초,512 MB
136,2460,지능형 기차 2,"수학,구현","124,102","출처,분류",3547,4386,87.04299999999999,3,1.15,1 초,128 MB
137,2407,조합,"수학,다이나믹 프로그래밍,조합론,임의 정밀도 / 큰 수 연산","124,25,6,117",분류,3536,14412,35.306999999999995,9,2.84,2 초,128 MB
138,1850,최대공약수,"수학,정수론,유클리드 호제법","124,95,26",분류,3486,15428,30.893,9,3.24,2 초,256 MB
139,10707,수도요금,"수학,사칙연산","124,121","출처,다국어,분류",3357,4700,77.013,2,1.3,1 초,256 MB
140,10164,격자상의 경로,"수학,다이나믹 프로그래밍","124,25","출처,분류",3333,12665,33.22,10,3.01,1 초,256 MB
141,4796,캠핑,"수학,그리디 알고리즘","124,33","출처,다국어,분류",3325,9867,39.773,6,2.51,1 초,128 MB
142,15894,수학은 체육과목 입니다,수학,124,"출처,분류",3316,7287,52.016000000000005,1,1.92,1 초 (추가 시간 없음),512 MB
143,5596,시험 점수,"수학,구현","124,102","출처,다국어,분류",3283,4257,83.494,2,1.2,1 초,128 MB
144,2476,주사위 게임,수학,124,"출처,분류",3268,7018,55.493,3,1.8,1 초,128 MB
145,16394,홍익대학교,"수학,사칙연산","124,121","출처,분류",3237,3953,86.713,1,1.15,1 초,256 MB
146,2935,소음,"수학,문자열","124,158","출처,다국어,분류",3095,6729,52.538000000000004,3,1.9,1 초,128 MB
147,2592,대표값,수학,124,"스페셜 저지,출처,분류",3074,5316,65.086,4,1.54,1 초,128 MB
148,13300,방 배정,"수학,구현","124,102","출처,분류",2890,5720,62.004,4,1.61,2 초,512 MB
149,9325,얼마?,"수학,사칙연산","124,121","출처,다국어,분류",2889,3943,80.743,3,1.24,1 초,128 MB
150,11401,이항 계수 3,"수학,정수론,페르마의 소정리","124,95,29",분류,2857,10189,44.467,15,2.25,1 초,256 MB
151,5988,홀수일까 짝수일까,"수학,사칙연산","124,121","출처,다국어,분류",2848,7850,43.20399999999999,4,2.31,1 초,128 MB
152,15969,행복,"수학,구현,사칙연산","124,102,121","서브태스크,출처,분류",2817,4862,71.71600000000001,4,1.39,2 초,512 MB
153,3460,이진수,수학,124,"출처,다국어,분류",2780,4872,65.304,3,1.53,1 초,128 MB
154,10830,행렬 제곱,"수학,분할 정복,분할 정복을 이용한 거듭제곱,선형대수학","124,24,39,144",분류,2745,9889,34.308,12,2.91,1 초,256 MB
155,2754,학점계산,"수학,구현,문자열,사칙연산","124,102,158,121",분류,2719,4749,63.766000000000005,3,1.57,1 초,128 MB
156,16430,제리와 톰,"수학,사칙연산","124,121","출처,분류",2718,3434,86.01299999999999,1,1.16,1 초,128 MB
157,10984,내 학점을 구해줘,"수학,구현,사칙연산","124,102,121","스페셜 저지,출처,분류",2713,5374,67.337,3,1.49,1 초,256 MB
158,15740,A+B - 9,"수학,사칙연산,임의 정밀도 / 큰 수 연산","124,121,117","서브태스크,분류",2710,6967,55.104,1,1.81,1 초,512 MB
159,13241,최소공배수,"수학,정수론,유클리드 호제법","124,95,26","출처,다국어,분류",2648,4637,63.38,8,1.58,2 초,512 MB
160,15964,이상한 기호,"수학,구현,사칙연산","124,102,121","서브태스크,출처,분류",2614,5497,56.543,1,1.77,2 초,256 MB
161,2981,검문,"수학,정수론,유클리드 호제법","124,95,26","출처,다국어,분류",2591,17407,21.076999999999998,10,4.74,1 초,128 MB
162,1072,게임,"수학,이분 탐색","124,12",분류,2574,17398,21.218000000000004,8,4.71,2 초,128 MB
163,10214,Baseball,"수학,구현","124,102","출처,분류",2570,4637,61.675,3,1.62,1 초,256 MB
164,4504,배수 찾기,"수학,사칙연산","124,121","출처,다국어,분류",2553,5268,53.578,3,1.87,1 초,128 MB
165,1271,엄청난 부자2,"수학,사칙연산,임의 정밀도 / 큰 수 연산","124,121,117",분류,2543,11910,33.155,1,3.01,2 초,128 MB
166,1964,"오각형, 오각형, 오각형…","수학,사칙연산","124,121",분류,2541,6537,46.547,3,2.15,2 초,256 MB
167,11382,꼬마 정민,"수학,사칙연산","124,121","출처,분류",2506,4297,64.755,1,1.54,1 초,512 MB
168,9506,약수들의 합,"수학,정수론","124,95","출처,다국어,분류",2471,4527,61.27,5,1.63,2 초,128 MB
169,1267,핸드폰 요금,"수학,사칙연산","124,121",분류,2445,6869,40.089,3,2.49,2 초,128 MB
170,1297,TV 크기,수학,124,분류,2432,5149,54.08,2,1.85,2 초,128 MB
171,12790,Mini Fantasy War,"수학,구현,사칙연산","124,102,121","출처,분류",2423,4344,61.42,3,1.63,1 초,128 MB
172,11576,Base Conversion,"수학,구현,정수론","124,102,95","출처,분류",2408,5087,57.815,6,1.73,2 초,256 MB
173,10569,다면체,"수학,기하학,사칙연산,오일러 지표 (χ=V-E+F)","124,100,121,119","출처,다국어,분류",2398,2927,87.359,3,1.14,5 초,256 MB
174,3034,앵그리 창영,수학,124,"출처,다국어,분류",2387,3481,73.97,3,1.35,1 초,128 MB
175,1024,수열의 합,수학,124,"출처,분류",2350,12642,24.958000000000002,9,4.01,2 초,128 MB
176,1834,나머지와 몫이 같은 수,수학,124,분류,2315,6876,40.515,5,2.47,2 초,256 MB
177,5218,알파벳 거리,"수학,문자열,사칙연산","124,158,121","출처,다국어,분류",2290,4120,64.653,4,1.55,1 초,128 MB
178,10103,주사위 게임,"수학,구현,사칙연산","124,102,121","출처,다국어,분류",2288,2759,88.958,3,1.12,1 초,256 MB
179,2338,긴자리 계산,"수학,사칙연산,임의 정밀도 / 큰 수 연산","124,121,117",분류,2276,5800,53.091,1,1.88,2 초,128 MB
180,3058,짝수를 찾아라,"수학,구현","124,102",분류,2264,3507,72.033,3,1.39,1 초,128 MB
181,5717,상근이의 친구들,"수학,사칙연산","124,121","출처,다국어,분류",2262,2954,83.131,3,1.2,1 초,128 MB
182,2355,시그마,"수학,사칙연산","124,121",분류,2216,10809,25.785,3,3.88,0.25 초 (추가 시간 없음),128 MB
183,1225,이상한 곱셈,"수학,구현,문자열","124,102,158","출처,다국어,분류",2162,6935,37.91,4,2.64,2 초,256 MB
184,5032,탄산 음료,"수학,사칙연산","124,121","출처,다국어,분류",2145,4871,49.571999999999996,4,2.02,1 초,128 MB
185,10822,더하기,"수학,구현,문자열,사칙연산,파싱","124,102,158,121,96",분류,2106,3059,79.262,4,1.26,1 초,256 MB
186,10157,자리배정,"수학,구현,재귀","124,102,62","출처,분류",2102,8054,34.111999999999995,6,2.93,1 초,256 MB
187,2738,행렬 덧셈,"수학,구현","124,102",분류,2073,3275,71.805,5,1.39,1 초,128 MB
188,2903,중앙 이동 알고리즘,"수학,사칙연산","124,121","출처,다국어,분류",2069,3824,60.479,3,1.65,1 초,128 MB
189,18108,1998년생인 내가 태국에서는 2541년생?!,"수학,사칙연산","124,121","출처,분류",2043,2488,86.936,1,1.15,1 초 (추가 시간 없음),1024 MB
190,1256,사전,"수학,다이나믹 프로그래밍,조합론","124,25,6",분류,2033,10285,28.01,13,3.57,2 초,128 MB
191,2089,-2진수,"수학,정수론","124,95",분류,1993,5175,46.36,7,2.16,2 초,128 MB
192,2959,거북이,수학,124,"출처,다국어,분류",1981,3142,70.19800000000001,3,1.42,1 초,128 MB
193,11816,"8진수, 10진수, 16진수","수학,구현,문자열,사칙연산","124,102,158,121",분류,1971,3218,70.82300000000001,4,1.41,1 초,256 MB
194,11966,2의 제곱인가?,수학,124,분류,1946,3754,62.592,3,1.6,2 초,512 MB
195,9610,사분면,"수학,구현","124,102","출처,다국어,분류",1942,3055,72.355,3,1.38,1 초,128 MB
196,10158,개미,"수학,사칙연산,애드 혹","124,121,109","출처,분류",1941,8024,35.628,6,2.81,0.15 초 (추가 시간 없음),256 MB
197,10539,수빈이와 수열,수학,124,"출처,다국어,분류",1926,2873,78.58,3,1.27,1 초,32 MB
198,2921,도미노,수학,124,"출처,다국어,분류",1914,2845,76.744,3,1.3,1 초,128 MB
199,15727,조별과제를 하려는데 조장이 사라졌다,"수학,사칙연산","124,121","출처,분류",1900,3232,64.168,1,1.56,1 초,128 MB
200,8320,직사각형을 만드는 방법,"수학,구현","124,102","출처,다국어,분류",1847,3645,59.066,3,1.69,1 초,256 MB
201,1722,순열의 순서,"수학,조합론","124,6",분류,1837,8863,30.765,10,3.25,2 초,128 MB
202,14652,나는 행복합니다~,"수학,사칙연산","124,121","출처,분류",1835,2851,69.825,1,1.43,2 초,256 MB
203,10178,할로윈의 사탕,"수학,사칙연산","124,121","출처,다국어,분류",1822,2591,76.107,3,1.31,1 초,256 MB
204,1747,소수&팰린드롬,"수학,문자열,브루트포스 알고리즘,정수론,소수 판정,에라토스테네스의 체","124,158,125,95,9,67",분류,1811,8809,27.336,11,3.66,2 초,256 MB
205,2502,떡 먹는 호랑이,"수학,다이나믹 프로그래밍","124,25","스페셜 저지,출처,분류",1804,4426,56.586999999999996,10,1.77,1 초,128 MB
206,5575,타임 카드,"수학,구현,사칙연산","124,102,121","출처,다국어,분류",1789,2453,78.95,2,1.27,1 초,128 MB
207,5355,화성 수학,"수학,구현","124,102","출처,다국어,분류",1788,2948,68.71600000000001,4,1.46,1 초,128 MB
208,2720,세탁소 사장 동혁,"수학,그리디 알고리즘,사칙연산","124,33,121","출처,다국어,분류",1765,2378,81.979,3,1.22,1 초,128 MB
209,7572,간지(干支),"수학,구현,사칙연산","124,102,121","출처,분류",1755,3449,60.123000000000005,4,1.66,1 초,128 MB
210,2702,초6 수학,"수학,정수론","124,95","출처,다국어,분류",1748,2377,80.11,5,1.25,1 초,128 MB
211,5361,전투 드로이드 가격,"수학,사칙연산","124,121","출처,다국어,분류",1745,2829,66.858,3,1.5,1 초,128 MB
212,1408,24,"수학,사칙연산","124,121",분류,1740,4294,46.787,5,2.14,2 초,128 MB
213,2783,삼각 김밥,"수학,구현","124,102","스페셜 저지,출처,다국어,분류",1737,3248,60.125,3,1.66,1 초,128 MB
214,11006,남욱이의 닭장,"수학,사칙연산","124,121","출처,다국어,분류",1734,2395,78.533,3,1.27,2 초,256 MB
215,1019,책 페이지,수학,124,"출처,분류",1733,8863,36.5,15,2.74,2 초,128 MB
216,17362,수학은 체육과목 입니다 2,수학,124,"출처,분류",1699,2832,67.582,2,1.48,1 초 (추가 시간 없음),1024 MB
217,5618,공약수,수학,124,"출처,다국어,분류",1664,3793,59.792,3,1.67,1 초,256 MB
