id,name,information,correct_user,submission_cnt,correct_rate
3563,Finding Liars,"출처,다국어",3,5,75.0
3564,Exclusive Access,"출처,다국어",0,0,0.0
3565,피보나치 진법,"출처,다국어,분류",14,75,46.667
3566,대형 스크린,"출처,다국어,분류",53,328,20.076
3567,Hell on the Markets,"스페셜 저지,출처,다국어",1,1,100.0
3568,iSharp,"출처,다국어,분류",646,1725,45.302
3569,Javanese Cryptoanalysis,"스페셜 저지,출처,다국어",1,1,100.0
3570,KINA Is Not Abbreviation,"스페셜 저지,출처,다국어",1,3,50.0
3582,Ants,"스페셜 저지,출처,다국어",1,1,100.0
3583,Building for UN,"스페셜 저지,출처,다국어",0,0,0.0
3584,가장 가까운 공통 조상,"출처,다국어,분류",745,1937,53.868
3585,Diver,"스페셜 저지,출처,다국어",0,0,0.0
3586,방정식,"출처,다국어,분류",15,116,16.304
3587,Fund Management,"스페셜 저지,출처,다국어",0,0,0.0
3588,Water Main Break,"출처,다국어",6,7,85.714
3589,Christmas Gifts,"출처,다국어",4,18,50.0
3590,i18n,"출처,다국어,분류",2,9,33.333
3591,Japanese Writing,"출처,다국어",0,0,0.0
3592,Kingdom Partitioning,"스페셜 저지,출처,다국어",0,0,0.0
3593,DFA,"출처,다국어",6,18,40.0
3595,맥주 냉장고,"스페셜 저지,출처,다국어",124,434,35.838
3596,크로스와 크로스,"출처,다국어,분류",20,116,28.986
3598,엘리베이터,"출처,다국어",3,34,60.0
3605,Billing Tables,"출처,다국어",1,1,100.0
3606,Cellular Automaton,"출처,다국어,분류",25,79,41.667
3607,Driving Directions,"스페셜 저지,출처,다국어",0,0,0.0
3608,Exchange,"출처,다국어",0,0,0.0
3609,Fool’s Game,"출처,다국어",0,0,0.0
3610,Graveyard,"스페셜 저지,출처,다국어,분류",13,38,72.222
3611,팀의 난이도,"스페셜 저지,출처,다국어,분류",27,178,34.177
3612,Interconnect,"스페셜 저지,출처,다국어",2,2,100.0
3613,Java vs C++,"출처,다국어,분류",870,5805,19.706
3614,정사각형,"출처,다국어,분류",18,37,66.667
3621,족보,"출처,다국어,분류",45,154,35.433
3622,어떤 호박의 할로윈 여행,"출처,다국어",37,106,37.755
3623,상범이의 액자,"출처,다국어",0,10,0.0
3626,Guards,"스페셜 저지,출처,다국어",1,1,100.0
3627,Hardwood Cutting,"출처,다국어",0,0,0.0
3628,Knockdown,"스페셜 저지,출처,다국어",0,0,0.0
3629,Astronomy,"출처,다국어",0,0,0.0
3640,제독,"출처,다국어,분류",344,1362,36.172
3641,호프집 선택,"출처,다국어",7,90,17.949
3642,자전거,"출처,다국어",0,1,0.0
3643,디지털 시계,"출처,다국어",12,62,25.532
3644,그래프 매칭,"출처,다국어",120,298,47.809
3645,토너먼트 조작,"스페셜 저지,출처,다국어",25,109,71.429
3646,경비원,"출처,다국어",7,13,53.846
3647,흥미로운 집합,"출처,다국어",0,0,0.0
3648,아이돌,"출처,다국어,분류",393,1514,31.166
3649,로봇 프로젝트,"출처,다국어,분류",969,9052,15.381
3650,암호 해독,"출처,다국어",22,141,34.375
3651,이항계수,"출처,다국어,분류",46,486,26.437
3652,새트리,"출처,다국어,분류",22,43,84.615
3653,영화 수집,"출처,다국어,분류",1427,5202,43.269
3654,L퍼즐,"출처,다국어,분류",85,526,25.915
3655,먼저 가세요,"출처,다국어",33,53,68.75
3656,수영장 만들기,"출처,다국어,분류",24,91,42.105
3657,총격전,"출처,다국어,분류",6,28,54.545
3658,Tichu,"스페셜 저지,출처,다국어,분류",1,1,100.0
3659,RFID 추적,"출처,다국어,분류",6,19,37.5
3660,열차 지연,"스페셜 저지,출처,다국어",4,19,36.364
3661,생일 선물,"출처,다국어,분류",29,98,40.278
3662,보석 분배,"출처,다국어",4,19,22.222
3663,고득점,"출처,다국어,분류",77,519,28.102
3664,언덕,"스페셜 저지,출처,다국어",3,9,33.333
3665,최종 순위,"출처,다국어,분류",1322,5051,35.662
3666,리스크,"출처,다국어,분류",68,204,40.0
3667,Selling Land,"출처,다국어",4,9,66.667
3668,Stock Prices,"출처,다국어",3,12,37.5
3669,Telephone Network,"스페셜 저지,출처,다국어",3,8,100.0
3670,Wormly,"출처,다국어",3,11,33.333
3671,산업 스파이의 편지,"출처,다국어,분류",399,1168,47.331
3672,Common Subexpression Elimination,"출처,다국어",1,3,50.0
3673,나눌 수 있는 부분 수열,"출처,다국어,분류",160,491,46.512
3674,Fractal,"스페셜 저지,출처,다국어",1,2,100.0
3675,Mountain Road,"출처,다국어",8,14,57.143
3676,Moving to Nuremberg,"출처,다국어",15,34,45.455
3677,Room Assignments,"출처,다국어",5,12,41.667
3678,카탄의 개척자,"출처,다국어,분류",171,684,36.538
3679,단순 다각형,"스페셜 저지,출처,다국어,분류",159,935,23.982
3680,Wormholes,"출처,다국어",3,3,100.0
3681,모빌,"출처,다국어",13,56,29.545
3682,동치 증명,"출처,다국어,분류",222,1164,25.724
3683,고양이와 개,"출처,다국어,분류",143,579,30.361
3684,어려운 문제,"스페셜 저지,출처,다국어,분류",69,229,43.671
3685,김강山,"출처,다국어,분류",16,46,41.026
3686,Sculpture,"출처,다국어",4,4,100.0
3687,성냥개비,"출처,다국어,분류",287,983,43.485
3688,래프팅 디자인,"스페셜 저지,출처,다국어",7,27,33.333
3689,셔플,"출처,다국어",8,14,61.538
3690,Videopoker,"스페셜 저지,출처,다국어",2,4,66.667
3691,컴퓨터 조립,"출처,다국어,분류",47,151,37.903
3692,펭귄들의 행진,"출처,다국어,분류",43,93,58.904
3693,컨테이너,"출처,다국어",21,134,20.192
3694,Youth Hostel Dorm,"스페셜 저지,출처,다국어",0,0,0.0
3695,Escape from Enemy Territory,"출처,다국어",3,4,75.0
3696,Flight Safety,"스페셜 저지,출처,다국어,분류",2,13,16.667
3697,정상,"출처,다국어,분류",71,385,28.862
3698,애매함,"출처,다국어",12,47,40.0
3699,주차 빌딩,"출처,다국어",30,52,68.182
3700,걷기,"출처,다국어,분류",10,51,21.277
3701,스도쿠 변형,"출처,다국어",1,2,50.0
3702,The SetStack Computer,"출처,다국어",0,0,0.0
3703,Pie,"스페셜 저지,출처,다국어",5,33,25.0
3704,Ticket to Ride,"출처,다국어",1,1,100.0
3705,Lineland’s Airport,"스페셜 저지,출처,다국어",0,0,0.0
3706,Leonardo’s Notebook,"출처,다국어",2,4,66.667
3707,Unequalled Consumption,"출처,다국어",0,0,0.0
3708,Declaration of Content,"출처,다국어",0,0,0.0
3709,레이저빔은 어디로,"출처,다국어,분류",166,438,47.564
3710,Pesky Heroes,"출처,다국어",0,0,0.0
3711,학번,"출처,다국어,분류",82,219,54.305
3712,Tantrix,"출처,다국어",0,0,0.0
3713,당일치기,"출처,다국어,분류",4,32,100.0
3714,Up the Stairs,"출처,다국어",0,0,0.0
3715,Secret — MAX,"출처,다국어",0,0,0.0
3716,Safety Grade,"출처,다국어",3,13,30.0
3717,Search by template,"출처,다국어",1,7,100.0
3718,Roots Intervals,"출처,다국어",0,0,0.0
3719,팰린드롬 날짜,"출처,다국어",2,164,2.632
3720,Choosing a camera,"출처,다국어",0,1,0.0
3721,Road Planner,"출처,다국어",0,1,0.0
3722,Term Generator,"출처,다국어",0,0,0.0
3723,Painting,"출처,다국어",0,0,0.0
3724,표,"출처,다국어,분류",20,97,33.898
3725,Calculator,"출처,다국어",0,0,0.0
3726,가장 큰 원,"출처,다국어",2,7,28.571
3727,프로그래밍 대회,"출처,다국어",2,3,66.667
3728,Control Points,"출처,다국어",3,10,33.333
3729,Gamers,"출처,다국어",0,0,0.0
3730,Cosmic Station,"출처,다국어",0,0,0.0
3731,Game,"출처,다국어",0,0,0.0
3732,Proof Generator,"출처,다국어",0,0,0.0
3733,Shares,"출처,다국어",0,0,0.0
3734,RSA 인수 분해,"출처,다국어",7,62,15.909
3735,Hard-working Student,"출처,다국어",0,0,0.0
3736,System Engineer,"출처,다국어,분류",113,400,43.629
3737,Cycles of Lanes,"출처,다국어,분류",2,3,66.667
3738,Multiprocessor Scheduling,"출처,다국어",0,0,0.0
3739,Maze Stretching,"출처,다국어",0,0,0.0
3740,Software Industry Revolution,"출처,다국어",0,0,0.0
3741,The Lucky Numbers,"출처,다국어",0,0,0.0
3742,The Robbery,"출처,다국어",0,0,0.0
3743,The Computer Game,"출처,다국어",0,0,0.0
3744,The Bad Number,"출처,다국어",0,0,0.0
3745,오름세,"출처,다국어,분류",896,3628,36.676
3746,Sky Code,"출처,다국어,분류",7,17,41.176
3747,완벽한 선거!,"출처,다국어,분류",211,514,57.65
3748,Lucky cities,"출처,다국어,분류",36,173,23.841
3749,Build Your Home,"출처,다국어",2,2,100.0
3750,Quick answer,"출처,다국어",6,48,30.0
3751,행운의 수,"출처,다국어",3,17,18.75
3752,최대공약수 행렬식,"출처,다국어,분류",32,81,50.0
3753,Internet Service Providers,"출처,다국어",4,6,66.667
3754,John,"출처,다국어",6,16,42.857
3755,Double Queue,"출처,다국어,분류",15,81,48.387
3756,‘JBC’,"출처,다국어",2,14,14.286
3757,Loan Scheduling,"출처,다국어",2,3,66.667
3758,KCPC,"출처,다국어,분류",717,2057,44.812
3759,Highway,"출처,다국어",3,5,75.0
3760,Computers,"출처,다국어,분류",6,18,42.857
3761,The Stable Marriage Problem,"출처,다국어",17,129,27.869
3762,Arne Saknussemm,"출처,다국어",2,4,50.0
3763,스도쿠,"출처,다국어,분류",19,77,42.222
3764,Products,"출처,다국어",0,1,0.0
3765,Celebrity jeopardy,"출처,다국어",0,0,0.0
3766,Sherlock Holmes,"출처,다국어",0,0,0.0
3767,Payment System,"출처,다국어",0,0,0.0
3768,Stargates,"출처,다국어",0,0,0.0
3769,최댓값,"출처,다국어,분류",8,48,57.143
3770,대한민국,"출처,다국어,분류",77,295,34.071
3771,“Shortest” pair of paths,"출처,다국어",0,0,0.0
3772,Linear world,"출처,다국어",0,0,0.0
3773,Songs,"출처,다국어",0,0,0.0
3774,Tour,"출처,다국어",0,0,0.0
3777,Computer Transformation,"출처,다국어,분류",57,1107,9.39
3778,애너그램 거리,"출처,다국어",152,370,60.079
3779,주기,"출처,다국어,분류",58,164,46.4
3780,네트워크 연결,"출처,다국어,분류",531,3192,23.61
3781,Cave Exploration,"출처,다국어",0,0,0.0
3782,City Game,"출처,다국어",0,0,0.0
3783,세제곱근,"출처,다국어,분류",63,847,14.0
3784,Cable TV Network,"출처,다국어",0,0,0.0
3785,Alibaba,"출처,다국어",0,0,0.0
3786,Booklets,"출처,다국어",1,1,100.0
3787,Count on Canton,"출처,다국어",0,0,0.0
3788,Delta Encoding and Decoding,"출처,다국어",0,0,0.0
3789,Hidden Password,"출처,다국어,분류",67,205,54.032
3790,Crazy tea party,"출처,다국어",13,19,92.857
3792,Lord of the Ring,"출처,다국어",0,0,0.0
3793,Common Subsequence,"출처,다국어,분류",141,564,45.048
3794,Power Network,"출처,다국어",3,30,23.077
3795,Firefighters,"출처,다국어",0,0,0.0
3796,Binary Polynomials,"출처,다국어",0,0,0.0
3797,Cash Machine,"출처,다국어",1,1,100.0
3798,Beer Land,"출처,다국어",1,1,100.0
3799,BOAT,"출처,다국어",1,2,50.0
3800,Art Gallery,"출처,다국어",0,0,0.0
3801,Game,"출처,다국어",0,0,0.0
3802,MANAGER,"출처,다국어",0,0,0.0
3803,Networking,"출처,다국어",0,0,0.0
3804,Sly Number,"출처,다국어",0,0,0.0
3805,벌집들,"출처,다국어",10,52,38.462
3806,S를 T로,"출처,다국어,분류",71,317,32.127
3807,고창영 비밀번호의 비밀,"출처,다국어,분류",37,224,40.217
3808,ACGU,"출처,다국어",2,38,5.263
3809,Old School Days,"출처,다국어",0,0,0.0
3810,Sentry Robots,"출처,다국어",8,15,57.143
3811,How do spiders walk on water?,"출처,다국어",1,3,33.333
3812,되팔렘,"출처,다국어",2,19,12.5
3813,The Moon of Valencia,"스페셜 저지,출처,다국어,채점 준비 중",0,0,0.0
3814,Countdown,"스페셜 저지,출처,다국어,채점 준비 중",0,0,0.0
3825,은행수,"출처,다국어",49,103,66.216
3826,스타일리시,"출처,다국어,분류",39,90,69.643
3827,일차원 세포 자동자,"출처,다국어,분류",49,159,49.495
3828,잘못된 계산,"출처,다국어,분류",25,64,43.103
3829,Sliding Block Puzzle,"출처,다국어,분류",12,27,66.667
3830,교수님은 기다리지 않는다,"출처,다국어,분류",675,4512,23.626
3831,Let There Be Light,"스페셜 저지,출처,다국어,분류",11,34,47.826
3832,Company Organization,"출처,다국어",4,22,33.333
3833,아름다운 레이아웃,"출처,다국어",18,93,33.333
3834,Cubic Colonies,"스페셜 저지,출처,다국어",2,21,16.667
3835,Alphabet Soup,"출처,다국어,분류",19,85,32.203
3836,Coin Collecting,"출처,다국어,분류",8,43,20.513
3837,사이버 도넛 범죄 수사,"출처,다국어",3,33,15.0
3838,Distributing Ballot Boxes,"출처,다국어",6,7,100.0
3839,"Game, Set and Match","스페셜 저지,출처,다국어",1,1,100.0
3840,Guess the Numbers,"출처,다국어",4,7,57.143
3841,Non-negative Partial Sums,"출처,다국어,분류",22,110,31.429
3842,Peer Review,"출처,다국어",1,2,50.0
3843,볼록 정다각형,"출처,다국어",14,102,25.0
3844,백준 공화국,"출처,다국어,분류",40,176,28.986
3845,잔디깎기,"출처,다국어,분류",63,120,69.231
3846,Periodic points,"출처,다국어",0,8,0.0
3847,Comparing answers,"출처,다국어,분류",32,126,54.237
3848,Fake scoreboard,"출처,다국어",11,40,39.286
3849,Palindromic DNA,"출처,다국어,분류",8,25,40.0
3850,Jumping monkey,"출처,다국어,분류",20,91,33.898
3851,Sensor network,"출처,다국어",2,7,28.571
3852,생산 공정,"출처,다국어",7,49,33.333
3853,자물쇠와 열쇠,"스페셜 저지,출처,다국어",2,45,16.667
3854,3-sided dice,"출처,다국어",6,44,15.385
3855,Trick or Treat,"스페셜 저지,출처,다국어,분류",7,13,63.636
3856,Working at the Restaurant,"출처,다국어,분류",4,10,40.0
3857,전구 게임,"출처,다국어",2,2,100.0
3858,Darts,"스페셜 저지,출처,다국어,분류",8,18,66.667
3859,Genetics,"출처,다국어",0,0,0.0
3860,할로윈 묘지,"출처,다국어,분류",374,3749,14.835
3861,Slalom,"스페셜 저지,출처,다국어,분류",3,6,50.0
3862,Routing,"출처,다국어",0,2,0.0
3863,행복한 전화 통화,"출처,다국어,분류",66,123,64.706
3864,Stammering Aliens,"출처,다국어,분류",22,127,20.183
3865,학회원,"출처,다국어,분류",56,216,44.094
3866,풍선 수집,"출처,다국어",12,44,27.907
3867,고속도로 위의 마을,"출처,다국어",4,10,66.667
3868,Awkward Lights,"출처,다국어",2,2,100.0
3869,The Two Men of the Japanese Alps,"스페셜 저지,출처,다국어",0,1,0.0
3870,Find the Multiples,"출처,다국어",5,16,41.667
3871,Test Case Tweaking,"출처,다국어",3,3,100.0
3872,Where’s Wally,"출처,다국어",1,1,100.0
3873,Intersection of Two Prisms,"스페셜 저지,출처,다국어,분류",8,18,50.0
3874,Matrix Calculator,"출처,다국어,분류",5,11,50.0
3875,Cubist Artwork,"출처,다국어",15,17,100.0
3876,sed 이용,"출처,다국어",18,66,47.368
3877,Swimming Jam,"출처,다국어",1,1,100.0
3878,점 분리,"출처,다국어,분류",216,1189,30.21
3879,Origami Through-Hole,"출처,다국어",1,2,100.0
3880,화학자의 수학,"출처,다국어",2,3,66.667
3881,말파티 원,"스페셜 저지,출처,다국어,분류",12,18,70.588
3882,스무고개,"출처,다국어",7,43,38.889
3883,Hobby on Rails,"출처,다국어",1,1,100.0
3884,Infected Land,"출처,다국어",0,1,0.0
3885,회색 영역,"스페셜 저지,출처,다국어,분류",27,33,84.375
3886,Expected Allowance,"스페셜 저지,출처,다국어",5,6,100.0
3887,Stopped Watches,"출처,다국어",1,1,100.0
3888,Digits on the Floor,"출처,다국어",1,1,100.0
3889,구면 거울,"스페셜 저지,출처,다국어",2,4,66.667
3890,Traveling Cube,"출처,다국어",1,1,100.0
3891,키워드 검색,"출처,다국어",2,17,100.0
3892,Top Spinning,"스페셜 저지,출처,다국어",1,1,100.0
3893,공통 다항식,"출처,다국어",1,9,50.0
3894,지그재그,"스페셜 저지,출처,다국어",0,1,0.0
3895,그리고 하나가 남았다,"출처,다국어,분류",132,415,50.575
3896,소수 사이 수열,"출처,다국어,분류",644,1083,72.036
3897,Minimal Backgammon,"출처,다국어",2,3,66.667
3898,Lowest Pyramid,"스페셜 저지,출처,다국어",0,0,0.0
3899,도로 지도,"출처,다국어",1,2,50.0
3900,Slim Span,"출처,다국어",5,6,100.0
3901,The Morning after Halloween,"출처,다국어",1,12,100.0
3902,Bug Hunt,"출처,다국어,분류",7,20,87.5
3903,제주도,"스페셜 저지,출처,다국어,분류",28,84,46.667
3904,The Teacher's Side of Math,"출처,다국어,분류",7,12,77.778
3905,How I Wonder What You Are!,"출처,다국어,분류",5,5,100.0
3906,How I Mathematician Wonder What You Are!,"출처,다국어",0,0,0.0
3907,정육면체 8퍼즐,"출처,다국어",9,107,12.676
3908,서로 다른 소수의 합,"출처,다국어,분류",333,905,56.537
3909,맨하탄 배선,"출처,다국어",0,0,0.0
3910,거듭제곱 계산,"출처,다국어,분류",16,66,47.059
3911,Polygons on the Grid,"출처,다국어",0,0,0.0
3912,The Best Name for Your Baby,"출처,다국어",0,0,0.0
3913,Enjoyable Communication,"출처,다국어",0,0,0.0
3914,Maximum Sum,"출처,다국어",8,12,72.727
3915,Book Replacement,"출처,다국어",0,0,0.0
3916,Colored Cubes,"출처,다국어",0,0,0.0
3917,Organize Your Train,"출처,다국어",0,0,0.0
3918,Mobile Computing,"스페셜 저지,출처,다국어",0,0,0.0
3919,Atomic Car Race,"출처,다국어",1,1,100.0
3920,Network Mess,"출처,다국어",0,0,0.0
3921,Bingo,"출처,다국어",0,0,0.0
3922,Shy Polygon,"스페셜 저지,출처,다국어,분류",1,1,100.0
3923,저울,"출처,다국어",7,18,77.778
3924,Make a Sequence,"출처,다국어",2,3,66.667
3925,암호화의 취약점 찾기,"출처,다국어",11,13,91.667
3926,Pathological Paths,"출처,다국어,분류",1,1,100.0
3927,Confusing Login Names,"출처,다국어",1,4,25.0
3928,Dice Puzzle,"출처,다국어",2,2,100.0
3929,Color the Map,"출처,다국어",0,0,0.0
3930,Inherit the Spheres,"출처,다국어",1,5,33.333
3931,Crossing Prisms,"스페셜 저지,출처,다국어",0,0,0.0
3932,Unreliable Messengers,"출처,다국어",5,5,100.0
3933,라그랑주의 네 제곱수 정리,"출처,다국어,분류",403,1259,56.681
3934,Area of Polygons,"출처,다국어",0,1,0.0
3935,바람의 신,"출처,다국어",2,28,100.0
3936,Molecular Formula,"출처,다국어",7,10,100.0
3937,Gap,"출처,다국어",0,2,0.0
3938,Concert Hall Scheduling,"출처,다국어,분류",68,171,60.714
3939,Monster Trap,"출처,다국어",0,1,0.0
3943,헤일스톤 수열,"출처,다국어,분류",1291,4049,40.726
3944,나머지 계산,"출처,다국어,분류",268,1101,43.791
3945,Pen Counts,"출처,다국어",8,12,72.727
3946,랜덤 걷기,"출처,다국어,분류",118,381,47.581
3947,폴하버의 삼각형,"출처,다국어",8,13,66.667
3948,홍준이의 친위대,"출처,다국어,분류",163,290,67.078
3949,Mad Veterinarian,"스페셜 저지,출처,다국어",0,0,0.0
3950,Windmill Animation,"출처,다국어",0,0,0.0
3951,Push-To Telescope,"출처,다국어",0,0,0.0
3952,Mystery,"출처,다국어,분류",31,83,43.056
3953,Battleship,"출처,다국어",10,48,29.412
3954,Brainf**k 인터프리터,"출처,다국어,분류",76,4598,10.16
3955,캔디 분배,"스페셜 저지,출처,다국어,분류",671,5312,20.132
3956,Outsourcing,"출처,다국어",2,5,40.0
3957,Pizza Hawaii,"출처,다국어",7,9,77.778
3958,롤러코스터 타기,"출처,다국어",12,38,44.444
3959,스키 점프,"스페셜 저지,출처,다국어,분류",23,105,43.396
3960,Suffix Array Re-construction,"출처,다국어",10,30,38.462
3961,터치스크린 키보드,"출처,다국어",37,68,64.912
3962,Track Smoothing,"스페셜 저지,출처,다국어",7,15,50.0
3963,Treasure Diving,"출처,다국어",5,24,35.714
3964,팩토리얼과 거듭제곱,"출처,다국어,분류",61,409,22.846
3965,Genetic Fraud,"출처,다국어",7,19,38.889
3966,Indiana Jones and the lost Soccer Cup,"출처,다국어",10,20,58.824
3967,매직 스타,"출처,다국어,분류",486,1359,50.625
3968,Magical Crafting,"출처,다국어",1,1,100.0
3969,My brother’s diary,"출처,다국어",10,18,55.556
3970,안전 구역,"스페셜 저지,출처,다국어,분류",9,46,27.273
3971,Sightseeing,"출처,다국어",2,3,100.0
3972,Suiting Weavers,"출처,다국어",6,12,66.667
3973,Time To Live,"출처,다국어",20,91,38.462
3974,Absurd prices,"출처,다국어",3,14,25.0
3975,Cheating or Not,"출처,다국어",0,1,0.0
3976,역습,"출처,다국어,분류",68,93,88.312
3977,축구 전술,"출처,다국어,분류",530,1788,35.932
3978,Hacking,"스페셜 저지,출처,다국어,분류",45,353,20.833
3979,Last Minute Constructions,"출처,다국어",0,0,0.0
3980,선발 명단,"출처,다국어,분류",756,2554,39.416
3981,큐브러버,"출처,다국어,분류",84,251,41.379
3982,Soccer Bets,"출처,다국어",36,66,66.667
3983,The Two-ball Game,"출처,다국어",2,3,66.667
3984,To score or not to score,"출처,다국어",0,0,0.0
3985,롤 케이크,"출처,다국어,분류",1304,3297,44.099
3986,좋은 단어,"출처,다국어,분류",2813,7229,48.718
3987,보이저 1호,"출처,다국어,분류",506,3222,19.961
3988,수 고르기,"출처,다국어,분류",112,515,37.838
3989,유행성 독감,"출처,다국어,분류",32,164,45.714
3990,화면 보호기,"스페셜 저지,출처,다국어,분류",30,207,30.612
3991,한번 쏘면 멈출 수 없어,"스페셜 저지,출처,다국어,분류",145,224,70.732
3992,Caravan Robbers,"출처,다국어,분류",30,255,13.393
3993,Disjoint Regular Expressions,"스페셜 저지,출처,다국어,분류",4,35,16.667
3994,Exact Measurement,"스페셜 저지,출처,다국어,분류",18,95,32.143
3995,스네이크 큐브,"스페셜 저지,출처,다국어,분류",21,126,25.926
3996,위대한 사기꾼,"출처,다국어",57,257,34.969
3997,하이퍼드롬,"출처,다국어,분류",51,147,45.536
3998,단백질 식별,"스페셜 저지,출처,다국어,분류",20,168,14.815
3999,텔레점프,"스페셜 저지,출처,다국어,분류",23,48,54.762
4000,Kingdom Reunion,"출처,다국어,분류",3,28,18.75
4001,미노타우르스 미궁,"스페셜 저지,출처,다국어,분류",34,125,33.663
4002,닌자배치,"출처,분류",173,667,32.096
4003,경비병,"출처,분류",37,190,27.407
4004,쿠나이,"출처,분류",24,109,27.586
4005,테이블 색칠하기,"출처,분류",57,208,37.748
4006,경로 찾기,출처,17,66,40.476
4007,단어 추측 게임,출처,1,27,100.0
4008,특공대,"출처,분류",368,1554,37.398
4009,순찰,"출처,분류",44,186,30.986
4010,신호,"스페셜 저지,출처,분류",24,137,21.622
4011,기름 파기,"출처,분류",76,271,41.758
4012,컨벤션 센터,"출처,분류",30,141,27.273
4013,ATM,"출처,분류",574,3388,25.309
4014,도로,"스페셜 저지,출처,분류",6,17,46.154
4015,DNA,"출처,분류",15,22,75.0
4016,모빌,출처,36,65,61.017
4017,동물원,출처,35,178,22.581
4018,Babs’ Box Boutique,"출처,다국어",8,21,66.667
4019,Flash Mob,"출처,다국어",9,16,64.286
4020,Hexagon Perplexagon,"출처,다국어",6,29,33.333
4021,I’ve Got Your Back(gammon),"출처,다국어",9,17,69.231
4022,Parencedence!,"출처,다국어",1,1,100.0
4023,Road Series,"출처,다국어",0,6,0.0
4024,Show Me the Money,"출처,다국어",2,21,28.571
4025,"Sofa, So Good","출처,다국어",1,2,100.0
4026,Town Square,"출처,다국어",0,1,0.0
4027,The Agency,"출처,다국어",0,1,0.0
4028,Chain of Fools,"출처,다국어",2,3,66.667
4029,콩도르세 역설,"출처,다국어",6,73,15.789
4030,포켓볼,"출처,다국어,분류",95,350,39.095
4031,The Banzhaf Buzz-Of,"출처,다국어",0,0,0.0
4032,GPS I Love You,"출처,다국어",0,0,0.0
4033,Have You Driven a Fjord Lately?,"출처,다국어",0,0,0.0
4034,Mobile,"출처,다국어",0,0,0.0
4035,Wally World,"출처,다국어",2,4,50.0
4036,Cut It Out!,"출처,다국어",0,0,0.0
4037,Flip It!,"출처,다국어",2,5,40.0
4038,Maze,"출처,다국어",0,0,0.0
4039,Photo Shoot,"출처,다국어",0,0,0.0
4040,Polar Bear,"출처,다국어",0,0,0.0
4041,Pro-Test Voting,"출처,다국어",0,0,0.0
4042,Vampires!,"출처,다국어",2,3,66.667
4043,"We’ve Got Chemistry, Babe","출처,다국어",0,0,0.0
4044,도전 24,"출처,다국어,분류",5,36,71.429
4045,Cover Up,"출처,다국어",0,0,0.0
4046,Decompressing in a GIF,"출처,다국어,분류",2,7,50.0
4047,Flipper,"출처,다국어",0,0,0.0
4048,The Flood,"출처,다국어",1,1,100.0
4049,행렬의 텐서곱,"출처,다국어",2,13,25.0
4050,Trip the Lights Fantastic,"출처,다국어",0,0,0.0
4051,Windows,"출처,다국어",1,10,100.0
4052,Bordering on Madness,"출처,다국어",1,5,25.0
4053,Jack of All Trades,"출처,다국어",1,5,100.0
4054,LCR,"출처,다국어",1,5,100.0
4055,파티가 좋아 파티가 좋아,"출처,다국어,분류",39,317,21.429
4056,스-스-스도쿠,"출처,다국어,분류",59,320,27.7
4057,Tanks a Lot,"출처,다국어",1,3,100.0
4058,The Worm Turns,"출처,다국어",1,2,100.0
4059,You’ll be Working on the Railroad,"출처,다국어",1,6,33.333
4060,CIVIC DILL MIX,"출처,다국어",3,6,100.0
4061,A Foldy but a Goody,"출처,다국어",1,2,100.0
4062,Give Me an E,"출처,다국어",1,3,100.0
4063,"Lemmings, Lemmings Everywhere. But Not For Long.","출처,다국어",1,2,100.0
4064,Once Around the Lock,"출처,다국어",1,6,100.0
4065,A Puzzling Problem,"출처,다국어",1,7,100.0
4066,"And Now, a Remainder from Our Sponsor","출처,다국어",3,14,50.0
4067,Target Practice,"출처,다국어",2,7,100.0
4068,Caterpillar,"출처,다국어",2,2,100.0
4069,Hie with the Pie,"출처,다국어",4,4,100.0
4070,"Mahershalalhashbaz, Nebuchadnezzar, and Billy Bob Benjamin Go to the Regionals","출처,다국어",14,19,82.353
4071,The Mastermind Master’s Mind,"출처,다국어",1,1,100.0
4072,Words,"출처,다국어,분류",123,185,78.846
4073,Stake Your Claim,"출처,다국어",1,1,100.0
4074,약어,"출처,다국어",2,62,100.0
4075,Countdown,"출처,다국어",3,5,60.0
4076,The Game of Efil,"출처,다국어",3,6,50.0
4077,Reliable Nets,"출처,다국어,분류",10,24,71.429
4078,Square Count,"출처,다국어",3,3,100.0
4079,Swamp Things,"출처,다국어",3,9,33.333
4080,Two Ends,"출처,다국어",11,18,73.333
4081,Sunday Drive,"출처,다국어",1,3,33.333
4082,Hexagram,"출처,다국어",0,1,0.0
4083,직사각형 만들기,"출처,다국어",5,13,50.0
4084,Viva la Diferencia,"출처,다국어,분류",466,670,74.441
4085,Robot Navigation,"출처,다국어",1,1,100.0
4086,Folding Game,"출처,다국어",0,0,0.0
4087,Burnout,"출처,다국어",0,0,0.0
4088,Family Fortune,"출처,다국어",2,6,40.0
4089,Moving Points,"출처,다국어",1,1,100.0
4090,뱀파이어 숫자,"출처,다국어",32,153,33.684
4091,Balloons,"출처,다국어",5,10,100.0
4092,비트 개수 세기,"출처,다국어,분류",7,147,22.581
4093,Data Recovery,"출처,다국어",0,0,0.0
4094,Equal Angles,"출처,다국어",0,0,0.0
4095,최대 정사각형,"출처,다국어,분류",284,967,41.95
4096,팰린드로미터,"출처,다국어,분류",59,140,56.731
4097,수익,"출처,다국어,분류",129,328,51.19
4098,Roller Coaster,"출처,다국어",0,6,0.0
